1,15,Figurine of Wondrous Power
16,16,Flask of Curses
17,18,Gauntlets of Dexterity
19,20,Gauntlets of Fumbling
21,22,Gauntlets of Ogre Power (CFT)
23,25,Gauntlets of Swimming and Climbing (CFT)
26,26,Gem of Brightness
27,27,Gem of Seeing
28,28,Girdle of Femininity/Masculinity (CFT)
29,29,Girdle of Giant Strength (CFT)
30,30,Helm of Brilliance
31,35,Helm of Comprehending Languages and Reading Magic
36,37,Helm of Opposite Alignment
38,39,Helm of Telepathy
40,40,Helm of Teleportation
41,45,Helm of Underwater Action
46,46,Horn of Blasting
47,48,Horn of Bubbles
49,49,Horn of Collapsing
50,53,Horn of the Tritons (CF)
54,60,Horn of Valhalla
61,63,Horseshoes of Speed
64,65,Horseshoes of a Zephyr
66,70,Incense of Meditation (C)
71,71,Incense of Obsession (C)
72,72,Ioun Stones
73,78,Instrument of the Bards
79,80,Iron Flask
81,85,Javelin of Lightning (F)
86,90,Javelin of Piercing (F)
91,91,Jewel of Attacks
92,92,Jewel of Flawlessness
93,100,Keoghtom's Ointment
