1,8,Arrow +1 2-24 in number
9,12,Arrow +2 2-16 in number
13,14,Arrow +3 2-12 in number
15,15,Arrow of Slaying
16,20,Axe +1
21,22,Axe +2
23,23,Axe +2 Throwing
24,24,Axe +3
25,27,Battle Axe +1
28,32,Bolt +2 2-20 in number
33,35,Bow +1
36,36,Crossbow of Accuracy +3
37,37,Crossbow of Distance
38,38,Crossbow of Speed
39,46,Dagger +1 +2 vs creatures smaller than man-sized
47,50,Dagger +2 +3 vs creatures larger than man-sized
51,51,Dagger of Venom
52,56,Flail +1
57,60,Hammer +1
61,62,Hammer +2
63,63,Hammer +3 Dwarven Thrower
64,64,Hammer of Thunderbolts
65,67,Javelin +2
68,72,Mace +1
73,75,Mace +2
76,76,Mace of Disruption
77,77,Mace +4
78,80,Military Pick +1
81,83,Morning Star +1
84,88,Scimitar +2
89,89,Sling of Seeking +2
90,94,Spear +1
95,96,Spear +2
97,97,Spear +3
98,99,Spear Cursed Backbiter
100,100,Trident (Military Fork) +3
